Red,Green,Blue
0.441,0.324,0.235
0.444,0.333,0.222
0.457,0.314,0.229
0.474,0.316,0.211
0.480,0.320,0.200
0.481,0.327,0.192
0.492,0.311,0.197
0.484,0.323,0.194
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.323,0.194
0.492,0.317,0.190
0.492,0.317,0.190
0.500,0.312,0.187
0.492,0.317,0.190
0.500,0.312,0.187
0.492,0.317,0.190
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.323,0.194
0.500,0.312,0.187
0.484,0.323,0.194
0.492,0.317,0.190
0.492,0.317,0.190
0.484,0.323,0.194
0.483,0.317,0.200
0.481,0.327,0.192
0.480,0.320,0.200
0.469,0.327,0.204
0.469,0.327,0.204
0.478,0.326,0.196
0.452,0.333,0.214
0.444,0.333,0.222
0.457,0.314,0.229
0.444,0.333,0.222
0.457,0.314,0.229
0.472,0.306,0.222
0.459,0.324,0.216
0.457,0.314,0.229
0.457,0.314,0.229
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.437,0.344,0.219
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.441,0.324,0.235
0.459,0.324,0.216
0.457,0.314,0.229
0.457,0.314,0.229
0.441,0.324,0.235
0.457,0.314,0.229
0.457,0.314,0.229
0.463,0.317,0.220
0.490,0.314,0.196
0.491,0.321,0.189
0.492,0.317,0.190
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.311,0.197
0.500,0.317,0.183
0.500,0.317,0.183
0.500,0.317,0.183
0.500,0.310,0.190
0.500,0.317,0.183
0.500,0.310,0.190
0.500,0.317,0.183
0.500,0.310,0.190
0.492,0.322,0.186
0.492,0.311,0.197
0.492,0.311,0.197
0.484,0.312,0.203
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.311,0.197
0.484,0.323,0.194
0.484,0.323,0.194
0.492,0.311,0.197
0.492,0.311,0.197
0.492,0.322,0.186
0.492,0.311,0.197
0.492,0.322,0.186
0.492,0.311,0.197
0.500,0.310,0.190
0.483,0.317,0.200
0.492,0.311,0.197
0.483,0.317,0.200
0.492,0.311,0.197
0.483,0.317,0.200
0.483,0.317,0.200
0.492,0.311,0.197
0.500,0.310,0.190
0.492,0.311,0.197
0.483,0.317,0.200
0.483,0.317,0.200
0.492,0.311,0.197
0.500,0.310,0.190
0.492,0.311,0.197
0.500,0.310,0.190
0.492,0.311,0.197
0.483,0.317,0.200
0.492,0.311,0.197
0.483,0.317,0.200
0.492,0.311,0.197
0.492,0.311,0.197
0.500,0.306,0.194
0.492,0.317,0.190
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.317,0.190
0.492,0.317,0.190
0.492,0.317,0.190
0.492,0.311,0.197
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.311,0.197
0.483,0.317,0.200
0.492,0.311,0.197
0.500,0.310,0.190
0.492,0.311,0.197
0.500,0.310,0.190
0.500,0.310,0.190
0.500,0.310,0.190
0.500,0.310,0.190
0.509,0.298,0.193
0.509,0.309,0.182
0.500,0.315,0.185
0.483,0.328,0.190
0.482,0.321,0.196
0.483,0.317,0.200
0.483,0.317,0.200
0.492,0.311,0.197
0.492,0.311,0.197
0.459,0.324,0.216
0.462,0.308,0.231
0.472,0.321,0.208
0.475,0.322,0.203
0.475,0.328,0.197
0.475,0.322,0.203
0.466,0.328,0.207
0.466,0.328,0.207
0.464,0.339,0.196
0.464,0.339,0.196
0.463,0.333,0.204
0.473,0.327,0.200
0.481,0.327,0.192
0.481,0.327,0.192
0.481,0.327,0.192
0.481,0.327,0.192
0.481,0.327,0.192
0.471,0.333,0.196
0.481,0.327,0.192
0.471,0.333,0.196
0.481,0.327,0.192
0.471,0.333,0.196
0.481,0.327,0.192
0.481,0.327,0.192
0.481,0.327,0.192
0.473,0.327,0.200
0.473,0.327,0.200
0.466,0.328,0.207
0.474,0.333,0.193
0.475,0.322,0.203
0.467,0.333,0.200
0.475,0.328,0.197
0.475,0.328,0.197
0.475,0.322,0.203
0.471,0.314,0.216
0.467,0.311,0.222
0.450,0.325,0.225
0.447,0.316,0.237
0.444,0.333,0.222
0.447,0.316,0.237
0.444,0.333,0.222
0.447,0.316,0.237
0.476,0.310,0.214
0.469,0.327,0.204
0.475,0.328,0.197
0.475,0.322,0.203
0.467,0.333,0.200
0.466,0.328,0.207
0.474,0.333,0.193
0.473,0.327,0.200
0.464,0.339,0.196
0.463,0.333,0.204
0.473,0.327,0.200
0.481,0.327,0.192
0.491,0.321,0.189
0.500,0.315,0.185
0.509,0.309,0.182
0.518,0.304,0.179
0.527,0.291,0.182
0.518,0.304,0.179
0.500,0.315,0.185
0.491,0.321,0.189
0.473,0.327,0.200
0.473,0.327,0.200
0.474,0.333,0.193
0.473,0.327,0.200
0.474,0.333,0.193
0.475,0.322,0.203
0.474,0.333,0.193
0.475,0.322,0.203
0.483,0.328,0.190
0.475,0.328,0.197
0.483,0.317,0.200
0.484,0.323,0.194
0.484,0.323,0.194
0.492,0.311,0.197
0.484,0.323,0.194
0.483,0.317,0.200
0.483,0.317,0.200
0.483,0.317,0.200
0.483,0.317,0.200
0.492,0.311,0.197
0.483,0.317,0.200
0.484,0.323,0.194
0.483,0.317,0.200
0.484,0.323,0.194
0.484,0.323,0.194
0.483,0.317,0.200
0.483,0.317,0.200
0.483,0.328,0.190
0.475,0.322,0.203
0.474,0.333,0.193
0.474,0.333,0.193
0.474,0.333,0.193
0.473,0.327,0.200
0.474,0.333,0.193
0.481,0.333,0.185
0.482,0.321,0.196
0.482,0.321,0.196
0.500,0.315,0.185
0.491,0.316,0.193
0.500,0.315,0.185
0.500,0.321,0.179
0.509,0.309,0.182
0.518,0.304,0.179
0.518,0.304,0.179
0.509,0.316,0.175
0.491,0.321,0.189
0.474,0.333,0.193
0.466,0.328,0.207
0.484,0.323,0.194
0.484,0.323,0.194
0.472,0.321,0.208
0.463,0.317,0.220
0.500,0.306,0.194
0.491,0.309,0.200
0.481,0.315,0.204
0.483,0.317,0.200
0.491,0.316,0.193
0.492,0.311,0.197
0.500,0.310,0.190
0.500,0.306,0.194
0.500,0.306,0.194
0.492,0.317,0.190
0.483,0.317,0.200
0.467,0.311,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.447,0.316,0.237
0.432,0.324,0.243
0.429,0.343,0.229
0.450,0.325,0.225
0.472,0.321,0.208
0.492,0.311,0.197
0.492,0.317,0.190
0.492,0.305,0.203
0.472,0.321,0.208
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.450,0.325,0.225
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.450,0.325,0.225
0.439,0.341,0.220
0.421,0.342,0.237
0.421,0.342,0.237
0.421,0.342,0.237
0.429,0.343,0.229
0.429,0.343,0.229
0.412,0.353,0.235
0.412,0.353,0.235
0.412,0.353,0.235
0.424,0.333,0.242
0.424,0.333,0.242
0.419,0.355,0.226
0.465,0.326,0.209
0.465,0.326,0.209
0.468,0.319,0.213
0.491,0.316,0.193
0.500,0.310,0.190
0.500,0.310,0.190
0.491,0.316,0.193
0.492,0.322,0.186
0.473,0.327,0.200
0.455,0.341,0.205
0.419,0.355,0.226
0.419,0.355,0.226
0.406,0.344,0.250
0.394,0.364,0.242
0.429,0.343,0.229
0.429,0.343,0.229
0.447,0.316,0.237
0.472,0.321,0.208
0.492,0.317,0.190
0.500,0.312,0.187
0.472,0.321,0.208
0.421,0.342,0.237
0.429,0.343,0.229
0.429,0.343,0.229
0.412,0.353,0.235
0.412,0.353,0.235
0.412,0.353,0.235
0.424,0.333,0.242
0.437,0.344,0.219
0.424,0.333,0.242
0.459,0.324,0.216
0.467,0.333,0.200
0.477,0.318,0.205
0.481,0.327,0.192
0.483,0.328,0.190
0.492,0.322,0.186
0.492,0.322,0.186
0.492,0.322,0.186
0.473,0.327,0.200
0.468,0.319,0.213
0.480,0.320,0.200
0.492,0.311,0.197
0.500,0.306,0.194
0.500,0.317,0.183
0.492,0.317,0.190
0.492,0.322,0.186
0.485,0.318,0.197
0.484,0.323,0.194
0.492,0.317,0.190
0.484,0.323,0.194
0.484,0.323,0.194
0.483,0.317,0.200
0.458,0.333,0.208
0.450,0.325,0.225
0.436,0.333,0.231
0.436,0.333,0.231
0.450,0.325,0.225
0.450,0.325,0.225
0.450,0.325,0.225
0.436,0.333,0.231
0.421,0.342,0.237
0.450,0.325,0.225
0.467,0.333,0.200
0.475,0.322,0.203
0.473,0.327,0.200
0.473,0.327,0.200
0.481,0.327,0.192
0.491,0.321,0.189
0.491,0.321,0.189
0.491,0.321,0.189
0.491,0.321,0.189
0.491,0.321,0.189
0.500,0.315,0.185
0.491,0.321,0.189
0.491,0.309,0.200
0.500,0.315,0.185
0.509,0.309,0.182
0.509,0.309,0.182
0.509,0.309,0.182
0.509,0.298,0.193
0.509,0.309,0.182
0.518,0.304,0.179
0.518,0.304,0.179
0.518,0.304,0.179
0.518,0.304,0.179
0.528,0.302,0.170
0.510,0.306,0.184
0.469,0.327,0.204
0.442,0.346,0.212
0.394,0.364,0.242
0.415,0.341,0.244
0.429,0.333,0.238
0.419,0.349,0.233
0.429,0.333,0.238
0.442,0.326,0.233
0.455,0.318,0.227
0.452,0.333,0.214
0.432,0.341,0.227
0.429,0.333,0.238
0.421,0.342,0.237
0.406,0.344,0.250
0.370,0.333,0.296
0.414,0.345,0.241
0.475,0.325,0.200
0.500,0.318,0.182
0.522,0.304,0.174
0.531,0.306,0.163
0.531,0.306,0.163
0.538,0.288,0.173
0.508,0.305,0.186
0.500,0.304,0.196
0.500,0.310,0.190
0.500,0.310,0.190
0.492,0.311,0.197
0.483,0.317,0.200
0.478,0.304,0.217
0.441,0.324,0.235
0.457,0.314,0.229
0.447,0.316,0.237
0.459,0.324,0.216
0.436,0.333,0.231
0.421,0.342,0.237
0.405,0.351,0.243
0.417,0.361,0.222
0.429,0.343,0.229
0.458,0.333,0.208
0.475,0.328,0.197
0.492,0.322,0.186
0.492,0.311,0.197
0.492,0.311,0.197
0.500,0.310,0.190
0.500,0.317,0.183
0.500,0.310,0.190
0.492,0.311,0.197
0.492,0.328,0.180
0.476,0.333,0.190
0.436,0.333,0.231
0.421,0.342,0.237
0.436,0.333,0.231
0.436,0.333,0.231
0.439,0.341,0.220
0.452,0.333,0.214
0.468,0.319,0.213
0.469,0.327,0.204
0.465,0.326,0.209
0.436,0.333,0.231
0.432,0.351,0.216
0.429,0.343,0.229
0.457,0.326,0.217
0.484,0.323,0.194
0.484,0.323,0.194
0.492,0.322,0.186
0.500,0.310,0.190
0.500,0.300,0.200
0.491,0.316,0.193
0.500,0.317,0.183
0.492,0.322,0.186
0.477,0.318,0.205
0.424,0.333,0.242
0.429,0.343,0.229
0.421,0.342,0.237
0.436,0.333,0.231
0.450,0.325,0.225
0.469,0.327,0.204
0.442,0.326,0.233
0.436,0.333,0.231
0.421,0.342,0.237
0.421,0.342,0.237
0.432,0.341,0.227
0.449,0.327,0.224
0.466,0.328,0.207
0.475,0.328,0.197
0.483,0.317,0.200
0.491,0.316,0.193
0.483,0.317,0.200
0.509,0.298,0.193
0.500,0.315,0.185
0.491,0.321,0.189
0.473,0.327,0.200
0.436,0.333,0.231
0.378,0.378,0.243
0.382,0.382,0.235
0.385,0.359,0.256
0.405,0.357,0.238
0.390,0.366,0.244
0.405,0.357,0.238
0.405,0.357,0.238
0.419,0.349,0.233
0.429,0.333,0.238
0.429,0.333,0.238
0.429,0.333,0.238
0.429,0.333,0.238
0.429,0.333,0.238
0.425,0.350,0.225
0.425,0.350,0.225
0.410,0.359,0.231
0.410,0.359,0.231
0.405,0.351,0.243
0.405,0.351,0.243
0.447,0.340,0.213
0.475,0.328,0.197
0.492,0.317,0.190
0.483,0.317,0.200
0.492,0.305,0.203
0.492,0.305,0.203
0.484,0.323,0.194
0.475,0.328,0.197
0.447,0.340,0.213
0.405,0.351,0.243
0.425,0.350,0.225
0.425,0.350,0.225
0.452,0.333,0.214
0.436,0.333,0.231
0.436,0.333,0.231
0.444,0.333,0.222
0.484,0.323,0.194
0.500,0.317,0.183
