Red,Green,Blue
0.579,0.228,0.193
0.589,0.214,0.196
0.593,0.220,0.186
0.586,0.224,0.190
0.586,0.229,0.186
0.580,0.247,0.173
0.580,0.247,0.173
0.568,0.259,0.173
0.573,0.253,0.173
0.568,0.257,0.176
0.562,0.260,0.178
0.563,0.254,0.183
0.566,0.250,0.184
0.570,0.253,0.177
0.585,0.244,0.171
0.580,0.247,0.173
0.581,0.244,0.174
0.584,0.234,0.182
0.597,0.224,0.179
0.593,0.220,0.186
0.593,0.220,0.186
0.586,0.224,0.190
0.579,0.228,0.193
0.582,0.236,0.182
0.582,0.236,0.182
0.574,0.241,0.185
0.579,0.228,0.193
0.579,0.228,0.193
0.579,0.228,0.193
0.574,0.241,0.185
0.585,0.226,0.189
0.571,0.232,0.196
0.593,0.222,0.185
0.582,0.236,0.182
0.585,0.226,0.189
0.585,0.226,0.189
0.579,0.228,0.193
0.579,0.228,0.193
0.579,0.228,0.193
0.593,0.222,0.185
0.571,0.232,0.196
0.593,0.222,0.185
0.593,0.222,0.185
0.589,0.214,0.196
0.593,0.222,0.185
0.586,0.224,0.190
0.571,0.238,0.190
0.585,0.231,0.185
0.578,0.234,0.187
0.579,0.228,0.193
0.586,0.224,0.190
0.593,0.220,0.186
0.600,0.217,0.183
0.607,0.213,0.180
0.597,0.210,0.194
0.603,0.206,0.190
0.603,0.207,0.190
0.600,0.217,0.183
0.597,0.210,0.194
0.603,0.207,0.190
0.600,0.218,0.182
0.593,0.222,0.185
0.579,0.228,0.193
0.577,0.231,0.192
0.571,0.224,0.204
0.574,0.234,0.191
0.574,0.234,0.191
0.571,0.224,0.204
0.577,0.231,0.192
0.589,0.214,0.196
0.603,0.207,0.190
0.617,0.200,0.183
0.615,0.200,0.185
0.610,0.208,0.182
0.608,0.215,0.177
0.613,0.213,0.173
0.615,0.205,0.179
0.613,0.213,0.175
0.610,0.207,0.183
0.615,0.205,0.179
0.622,0.203,0.176
0.614,0.200,0.186
0.609,0.203,0.188
0.614,0.200,0.186
0.603,0.206,0.191
0.606,0.212,0.182
0.603,0.206,0.190
0.603,0.206,0.190
0.594,0.219,0.187
0.597,0.210,0.194
0.597,0.210,0.194
0.600,0.217,0.183
0.600,0.217,0.183
0.597,0.210,0.194
0.600,0.217,0.183
0.590,0.213,0.197
0.593,0.220,0.186
0.600,0.217,0.183
0.600,0.217,0.183
0.593,0.220,0.186
0.600,0.217,0.183
0.600,0.217,0.183
0.597,0.210,0.194
0.594,0.219,0.187
0.607,0.213,0.180
0.597,0.210,0.194
0.587,0.222,0.190
0.580,0.232,0.188
0.580,0.232,0.188
0.586,0.229,0.186
0.588,0.235,0.176
0.586,0.229,0.186
0.591,0.227,0.182
0.578,0.219,0.203
0.576,0.227,0.197
0.571,0.243,0.186
0.578,0.234,0.187
0.581,0.226,0.194
0.583,0.233,0.183
0.593,0.220,0.186
0.574,0.230,0.197
0.582,0.239,0.179
0.574,0.235,0.191
0.574,0.235,0.191
0.585,0.231,0.185
0.582,0.239,0.179
0.588,0.235,0.176
0.593,0.220,0.186
0.593,0.220,0.186
0.589,0.214,0.196
0.603,0.207,0.190
0.600,0.217,0.183
0.610,0.203,0.186
0.597,0.210,0.194
0.609,0.203,0.188
0.597,0.208,0.194
0.603,0.205,0.192
0.597,0.208,0.194
0.597,0.208,0.194
0.606,0.211,0.183
0.600,0.214,0.186
0.611,0.208,0.181
0.611,0.208,0.181
0.606,0.211,0.183
0.606,0.211,0.183
0.606,0.212,0.182
0.594,0.219,0.187
0.594,0.219,0.187
0.593,0.220,0.186
0.600,0.217,0.183
0.593,0.220,0.186
0.600,0.217,0.183
0.600,0.217,0.183
0.600,0.217,0.183
0.600,0.217,0.183
0.600,0.217,0.183
0.597,0.210,0.194
0.600,0.217,0.183
0.594,0.219,0.187
0.597,0.210,0.194
0.603,0.206,0.190
0.594,0.219,0.187
0.603,0.206,0.190
0.606,0.212,0.182
0.606,0.212,0.182
0.612,0.209,0.179
0.616,0.205,0.178
0.618,0.197,0.184
0.620,0.203,0.177
0.633,0.190,0.177
0.630,0.185,0.185
0.627,0.193,0.181
0.627,0.193,0.181
0.640,0.187,0.173
0.640,0.187,0.173
0.613,0.200,0.187
0.610,0.208,0.182
0.591,0.239,0.170
0.593,0.235,0.173
0.623,0.195,0.182
0.609,0.217,0.174
0.562,0.260,0.178
0.585,0.231,0.185
0.606,0.211,0.183
0.611,0.208,0.181
0.608,0.203,0.189
0.611,0.208,0.181
0.606,0.212,0.182
0.603,0.207,0.190
0.577,0.212,0.212
0.585,0.226,0.189
0.574,0.241,0.185
0.569,0.235,0.196
0.567,0.250,0.183
0.567,0.250,0.183
0.569,0.241,0.190
0.574,0.241,0.185
0.596,0.213,0.191
0.607,0.196,0.196
0.614,0.214,0.171
0.627,0.200,0.173
0.605,0.210,0.185
0.610,0.207,0.183
0.600,0.213,0.187
0.585,0.231,0.185
0.568,0.257,0.176
0.562,0.262,0.175
0.569,0.250,0.181
0.597,0.224,0.179
0.600,0.213,0.187
0.600,0.214,0.186
0.593,0.220,0.186
0.585,0.208,0.208
0.571,0.238,0.190
0.567,0.254,0.179
0.569,0.262,0.169
0.561,0.258,0.182
0.568,0.247,0.185
0.612,0.209,0.179
0.616,0.205,0.178
0.618,0.206,0.176
0.594,0.219,0.187
0.575,0.247,0.178
0.585,0.231,0.185
0.597,0.224,0.179
0.603,0.221,0.176
0.600,0.214,0.186
0.606,0.211,0.183
0.611,0.208,0.181
0.603,0.221,0.176
0.594,0.217,0.188
0.594,0.217,0.188
0.603,0.221,0.176
0.606,0.211,0.183
0.606,0.211,0.183
0.608,0.203,0.189
0.600,0.213,0.187
0.613,0.200,0.187
0.613,0.200,0.187
0.605,0.211,0.184
0.608,0.203,0.189
0.611,0.208,0.181
0.608,0.203,0.189
0.614,0.200,0.186
0.620,0.197,0.183
0.620,0.197,0.183
0.618,0.197,0.184
0.635,0.189,0.176
0.635,0.189,0.176
0.639,0.181,0.181
0.630,0.192,0.178
0.640,0.187,0.173
0.632,0.197,0.171
0.635,0.189,0.176
0.630,0.192,0.178
0.635,0.189,0.176
0.617,0.198,0.185
0.620,0.203,0.177
0.600,0.222,0.178
0.593,0.233,0.174
0.573,0.244,0.183
