aX,aY,aZ,gX,gY,gZ
-0.295,3.068,0.593,-8.301,0.122,-21.423
-0.326,3.688,0.398,-1.709,5.127,-25.818
-0.414,4.000,0.263,8.911,10.193,-33.997
-0.542,4.000,0.181,34.546,12.634,-44.128
-0.636,4.000,0.361,84.167,19.714,-67.627
-0.697,4.000,0.872,140.503,27.039,-106.384
-0.814,4.000,1.463,186.646,29.053,-145.203
-0.777,3.709,2.062,208.557,38.635,-187.256
-0.672,3.202,2.596,192.871,55.664,-224.976
-0.683,2.537,2.798,144.043,79.163,-236.023
-0.862,1.554,2.484,67.688,105.408,-229.675
-1.418,0.221,1.540,-25.513,125.671,-216.370
-2.257,-2.128,0.227,-115.479,146.301,-194.519
-2.577,-4.000,-0.991,-193.176,136.353,-179.749
-1.272,-4.000,-1.240,-195.496,55.847,-215.088
0.510,-4.000,-0.139,-16.968,-71.045,-296.143
2.780,-4.000,1.066,183.167,-128.357,-291.626
3.318,-4.000,2.230,231.445,-61.646,-189.880
2.422,-4.000,2.499,196.533,92.407,-42.053
1.106,-3.323,1.818,162.720,249.146,73.120
0.075,-2.217,0.741,113.281,304.077,104.675
-1.029,-1.232,0.052,40.955,198.975,115.906
-2.119,-0.281,0.133,-3.906,19.104,122.070
-2.284,0.257,0.645,6.836,-90.759,89.783
-1.907,0.264,1.270,38.757,-94.116,27.405
-1.280,-0.055,1.722,56.702,-64.758,-15.442
-0.593,-0.348,1.724,46.570,-45.898,-22.095
-0.195,-0.606,1.574,14.832,-19.165,-5.554
0.040,-0.880,1.351,-4.456,15.137,16.052
0.120,-1.009,1.151,-14.893,30.212,33.813
0.051,-0.985,0.989,-29.114,22.034,44.556
0.056,-0.979,0.848,-40.955,4.395,46.143
0.168,-0.968,0.858,-44.495,-13.489,42.175
0.273,-0.853,0.994,-43.152,-28.687,43.213
0.255,-0.582,1.055,-40.527,-31.982,49.988
0.199,-0.435,1.062,-36.316,-17.151,57.068
0.142,-0.210,1.039,-32.593,1.038,62.439
0.114,-0.067,0.973,-29.968,10.193,68.115
0.154,-0.027,0.869,-33.142,11.414,69.519
0.227,-0.042,0.841,-42.236,6.653,65.796
0.327,-0.104,0.777,-52.124,-7.263,64.026
0.384,-0.154,0.704,-59.875,-22.034,65.002
0.393,-0.153,0.679,-60.791,-27.893,65.674
0.337,-0.020,0.673,-53.162,-27.588,65.125
0.269,0.156,0.702,-43.579,-26.978,63.660
0.151,0.376,0.740,-37.964,-28.076,62.073
0.012,0.504,0.781,-32.837,-28.076,58.838
-0.118,0.559,0.877,-26.489,-24.841,50.659
-0.163,0.541,0.955,-22.034,-23.804,36.560
-0.140,0.438,0.946,-23.193,-27.527,21.179
-0.063,0.318,0.912,-23.132,-29.968,8.301
0.055,0.185,0.914,-16.602,-25.452,1.831
0.124,0.084,0.963,-7.507,-13.550,1.831
0.178,0.007,1.000,-0.610,1.282,5.615
0.240,-0.027,1.013,0.854,11.963,10.437
0.277,-0.042,0.997,-2.563,14.038,16.846
0.287,-0.047,0.992,-7.690,10.315,23.621
0.274,-0.025,0.995,-12.024,5.554,28.076
0.245,0.026,0.989,-15.076,1.282,29.053
0.206,0.081,1.008,-16.846,-3.174,30.396
0.139,0.140,1.055,-17.273,-6.836,33.020
0.083,0.146,1.086,-17.273,-5.859,34.973
0.058,0.144,1.082,-17.944,-3.052,34.729
0.059,0.162,1.075,-17.273,-0.610,32.532
0.111,0.169,1.069,-15.076,1.404,30.579
0.165,0.183,1.063,-14.465,1.709,29.541
0.201,0.204,1.027,-14.771,0.061,29.114
0.220,0.190,1.017,-17.029,-3.174,30.273
0.214,0.180,1.005,-17.944,-6.592,30.151
0.198,0.172,0.987,-15.991,-8.972,28.137
0.201,0.160,0.990,-12.329,-9.277,25.635
0.204,0.141,1.013,-9.827,-9.583,24.109
0.197,0.139,1.036,-8.484,-10.254,24.353
0.175,0.160,1.070,-6.531,-8.484,24.658
0.147,0.161,1.112,-5.310,-3.540,24.292
0.130,0.140,1.122,-7.263,0.488,23.071
0.103,0.117,1.092,-12.024,2.380,21.606
0.086,0.103,1.069,-13.855,4.333,19.897
0.078,0.100,1.035,-11.963,7.324,16.907
0.090,0.083,1.026,-8.728,10.925,13.855
0.090,0.086,1.019,-6.042,12.878,10.315
0.102,0.099,1.003,-4.639,12.695,6.287
0.099,0.095,0.988,-5.615,11.475,3.479
0.098,0.080,0.968,-6.836,10.010,0.366
0.119,0.072,0.946,-7.080,9.766,-2.258
0.173,0.070,0.943,-5.920,9.094,-3.723
0.223,0.088,0.941,-5.371,7.080,-2.686
0.224,0.090,0.929,-7.019,4.578,1.282
