aX,aY,aZ,gX,gY,gZ
-0.226,0.646,2.767,84.900,-182.861,-9.277
-0.228,0.687,2.723,38.208,-186.584,-3.540
-0.190,0.646,2.489,-1.160,-146.973,-2.075
-0.092,0.563,2.187,-26.917,-72.937,-2.380
-0.019,0.500,1.835,-38.452,8.667,-2.380
-0.021,0.515,1.525,-45.776,75.928,-1.648
-0.025,0.531,1.227,-53.528,111.389,0.732
-0.026,0.545,0.969,-61.890,112.305,3.113
0.004,0.559,0.777,-69.031,95.520,4.028
0.041,0.579,0.658,-72.693,73.853,3.967
0.070,0.605,0.638,-71.716,55.603,2.197
0.094,0.648,0.667,-68.054,41.443,-0.488
0.114,0.684,0.727,-66.528,32.288,-2.014
0.145,0.691,0.812,-67.932,29.419,-2.197
0.180,0.712,0.857,-71.289,34.058,-1.160
0.202,0.720,0.846,-77.087,41.687,2.502
0.215,0.734,0.803,-84.412,50.110,6.165
0.222,0.744,0.697,-91.309,57.312,8.423
0.228,0.739,0.574,-96.375,60.852,9.888
0.228,0.756,0.477,-97.229,61.890,9.399
0.203,0.790,0.415,-92.773,62.683,5.737
0.192,0.811,0.391,-84.595,62.195,0.977
0.209,0.819,0.414,-76.721,58.289,-3.601
0.231,0.821,0.446,-72.388,49.377,-7.690
0.260,0.823,0.473,-72.876,36.072,-8.789
0.268,0.831,0.506,-76.660,23.621,-7.935
0.276,0.833,0.512,-80.688,16.418,-7.141
0.288,0.819,0.490,-84.045,15.137,-6.592
0.294,0.812,0.448,-86.060,20.203,-6.409
0.294,0.802,0.406,-86.121,30.945,-6.226
0.288,0.791,0.374,-84.045,43.701,-6.348
0.283,0.782,0.327,-82.581,50.598,-6.042
0.269,0.777,0.280,-83.069,49.011,-4.761
0.276,0.761,0.253,-84.045,40.955,-3.784
0.291,0.759,0.236,-85.083,30.273,-3.418
0.304,0.757,0.220,-85.999,21.423,-2.808
0.311,0.762,0.207,-86.792,18.494,-2.502
0.311,0.770,0.170,-86.060,19.043,-2.441
0.309,0.776,0.146,-84.717,22.766,-2.869
0.314,0.781,0.143,-81.604,29.785,-4.395
0.315,0.796,0.144,-76.904,39.246,-5.493
0.301,0.815,0.142,-72.937,47.852,-5.920
0.299,0.819,0.146,-71.411,51.025,-5.188
0.285,0.827,0.126,-72.876,47.058,-3.235
0.292,0.819,0.108,-76.233,37.048,-1.953
0.311,0.813,0.099,-80.261,23.132,-0.793
0.318,0.811,0.085,-84.412,10.681,1.221
0.345,0.810,0.073,-88.135,4.944,3.967
0.336,0.819,0.039,-91.125,5.432,7.019
0.320,0.828,0.008,-90.942,13.184,8.118
0.292,0.835,-0.019,-86.609,25.940,7.019
0.271,0.842,-0.032,-80.139,37.354,4.211
0.259,0.849,-0.041,-75.378,43.091,0.610
0.265,0.834,-0.045,-73.303,41.504,-2.014
0.278,0.821,-0.051,-74.036,33.752,-2.075
0.285,0.817,-0.049,-76.172,22.827,-0.977
0.297,0.817,-0.042,-79.163,14.648,0.183
0.303,0.819,-0.053,-81.299,10.925,2.197
0.300,0.821,-0.071,-83.008,11.047,3.479
0.294,0.825,-0.092,-82.825,16.052,2.747
0.286,0.820,-0.113,-80.017,24.841,0.977
0.287,0.821,-0.140,-77.209,34.302,-0.793
0.279,0.824,-0.164,-73.914,44.861,-2.563
0.270,0.816,-0.186,-69.275,55.603,-4.517
0.278,0.793,-0.198,-65.491,61.279,-5.615
0.291,0.786,-0.204,-65.491,58.472,-4.639
0.288,0.796,-0.228,-67.749,50.049,-2.441
0.281,0.803,-0.251,-71.899,40.161,0.305
0.275,0.807,-0.280,-75.134,31.433,1.709
0.266,0.807,-0.302,-75.989,26.489,1.221
0.266,0.804,-0.321,-74.219,24.658,-0.732
0.271,0.796,-0.341,-71.350,24.841,-2.869
0.285,0.781,-0.352,-68.115,26.794,-4.333
0.290,0.775,-0.363,-65.247,29.053,-4.272
0.302,0.770,-0.368,-64.026,30.334,-3.479
0.310,0.757,-0.374,-64.697,30.212,-1.892
0.300,0.770,-0.394,-67.383,28.381,1.282
0.265,0.781,-0.417,-70.251,25.085,4.578
0.253,0.783,-0.422,-70.923,20.142,4.822
0.252,0.788,-0.418,-70.679,13.000,3.113
0.244,0.784,-0.414,-71.350,4.822,1.709
0.238,0.779,-0.403,-72.510,-1.099,0.305
0.239,0.764,-0.393,-72.632,-4.822,-1.160
0.237,0.752,-0.395,-72.632,-7.751,-2.014
0.231,0.731,-0.422,-72.327,-8.606,-2.136
0.241,0.711,-0.465,-70.923,-6.531,-2.686
0.261,0.702,-0.501,-68.909,-0.244,-4.272
0.276,0.692,-0.539,-66.040,9.155,-5.737
0.282,0.691,-0.569,-62.073,19.531,-6.836
0.274,0.692,-0.598,-56.213,28.442,-7.935
0.269,0.701,-0.591,-48.035,34.180,-8.972
0.268,0.721,-0.608,-41.504,33.325,-10.254
0.284,0.729,-0.602,-41.016,27.039,-10.620
0.294,0.737,-0.581,-44.739,17.944,-9.827
0.307,0.748,-0.576,-48.218,9.705,-8.911
0.324,0.732,-0.574,-50.415,6.958,-7.690
0.341,0.712,-0.580,-50.781,17.944,-4.761
0.330,0.714,-0.593,-49.377,28.503,-3.845
0.307,0.696,-0.623,-50.293,42.053,-3.052
0.292,0.693,-0.648,-52.429,38.879,-2.686
0.293,0.677,-0.659,-54.016,33.936,-2.625
0.298,0.660,-0.668,-53.406,28.564,-3.052
0.296,0.659,-0.671,-52.063,24.841,-2.502
0.297,0.654,-0.660,-50.537,23.315,-2.258
0.310,0.637,-0.667,-50.232,23.376,-2.136
0.302,0.631,-0.679,-51.147,25.513,-0.916
0.287,0.631,-0.698,-51.453,27.344,1.221
0.277,0.632,-0.711,-51.147,26.978,1.587
0.281,0.626,-0.717,-50.110,24.780,1.465
0.284,0.626,-0.724,-49.683,21.301,1.648
0.284,0.625,-0.720,-48.767,19.714,0.793
0.287,0.617,-0.713,-46.997,20.569,-0.488
0.288,0.613,-0.708,-45.166,22.339,-1.099
0.286,0.599,-0.705,-44.373,22.400,-0.610
0.282,0.587,-0.704,-45.410,19.592,0.244
0.280,0.579,-0.715,-45.776,18.188,1.709
0.275,0.571,-0.726,-45.898,19.775,2.930
0.268,0.569,-0.730,-45.288,23.987,3.540

0.129,0.496,2.318,180.786,-147.888,-40.466
0.134,0.529,2.627,159.851,-178.040,-39.063
0.167,0.582,2.773,127.930,-187.988,-30.945
0.148,0.643,2.753,87.402,-169.800,-20.020
0.149,0.660,2.522,41.199,-123.230,-9.399
0.163,0.602,2.205,-0.366,-55.176,-3.906
0.188,0.508,1.832,-28.992,14.954,-2.502
0.205,0.503,1.406,-43.762,72.266,-1.221
0.196,0.509,1.019,-53.345,111.633,3.357
0.143,0.530,0.709,-60.059,126.404,6.104
0.097,0.541,0.534,-61.768,119.141,6.592
0.115,0.562,0.460,-55.420,94.604,3.845
0.156,0.606,0.409,-47.974,61.035,0.671
0.187,0.648,0.375,-44.556,31.128,-0.671
0.223,0.677,0.380,-44.983,13.489,0.000
0.272,0.704,0.345,-45.166,6.287,0.977
0.294,0.733,0.266,-44.739,11.597,2.197
0.292,0.755,0.226,-40.588,23.376,4.761
0.275,0.795,0.260,-32.898,32.837,5.188
